name,platform,year_of_release,genre,publisher,na_sales_cleaned,eu_sales_cleaned,jp_sales_cleaned,other_sales_cleaned,global_sales_cleaned,critic_score,critic_count,user_score,user_count,developer,rating
Call of Duty: Black Ops,X360,2010,Shooter,Activision,9700000,3680000,110000,1130000,14610000,87,89,6.3,1454,Treyarch,M
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5280000,4190000,4350000,780000,14600000,,,,,,
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4990000,5730000,650000,2420000,13790000,83,21,5.3,922,Treyarch,M
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8250000,4240000,70000,1120000,13670000,83,73,4.8,2256,Treyarch,M
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8520000,3590000,80000,1280000,13470000,94,100,6.3,2698,Infinity Ward,M
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5540000,5730000,490000,1570000,13320000,88,39,3.2,5234,"Infinity Ward, Sledgehammer Games",M
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6990000,4510000,300000,1300000,13100000,97,56,8.5,664,DMA Design,M
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6620000,2550000,2660000,1010000,12840000,93,81,8.9,1662,Game Arts,T
Mario Kart 7,3DS,2011,Racing,Nintendo,5030000,4020000,2690000,910000,12660000,85,73,8.2,632,"Retro Studios, Entertainment Analysis & Development Division",E
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5990000,4370000,480000,1790000,12630000,88,58,6.4,1094,Treyarch,M
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3960000,6310000,380000,1970000,12610000,97,66,8.3,2899,Rockstar North,M
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2500000,3450000,5330000,860000,12130000,86,57,8.7,242,Nintendo,E
Halo 3,X360,2007,Shooter,Microsoft Game Studios,7970000,2810000,130000,1210000,12120000,94,86,7.8,4100,"Bungie Software, Bungie",M
Super Mario 64,N64,1996,Platform,Nintendo,6910000,2850000,1910000,230000,11890000,,,,,,
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4340000,2710000,3960000,760000,11770000,,,,,,
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4350000,3490000,3100000,740000,11680000,,,,,,
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3010000,10000,1100000,7530000,11660000,89,74,8.5,272,Polyphony Digital,E
Super Mario Galaxy,Wii,2007,Platform,Nintendo,6060000,3350000,1200000,740000,11350000,97,73,8.9,2147,Nintendo,E
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6160000,2040000,2690000,290000,11180000,,,,,,
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6760000,3070000,140000,1030000,11010000,98,86,7.9,2951,Rockstar North,M
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4020000,3870000,2540000,520000,10950000,96,16,8.7,138,Polyphony Digital,E
Super Mario 3D Land,3DS,2011,Platform,Nintendo,4890000,3000000,2140000,780000,10810000,90,82,8.4,921,Nintendo,E
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2960000,4820000,810000,2110000,10700000,84,82,7.5,1112,Polyphony Digital,E
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4990000,3640000,380000,1600000,10600000,94,67,6.3,2073,Infinity Ward,M
Super Mario All-Stars,SNES,1993,Platform,Nintendo,5990000,2150000,2120000,290000,10550000,,,,,,
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4760000,3690000,440000,1610000,10500000,98,64,7.5,2833,Rockstar North,M
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4340000,2650000,3150000,350000,10490000,,,,,,
Super Mario 64,DS,2004,Platform,Nintendo,5010000,3070000,1250000,970000,10300000,,,,,,
Call of Duty: Ghosts,X360,2013,Shooter,Activision,6730000,2560000,40000,910000,10250000,73,29,2.6,2117,Infinity Ward,M
Just Dance 3,Wii,2011,Misc,Ubisoft,5950000,3110000,0,1060000,10120000,74,15,7.8,16,Ubisoft,E10+
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3660000,3140000,2470000,630000,9900000,78,70,7.2,424,Nintendo,E
Mario Kart 64,N64,1996,Racing,Nintendo,5550000,1940000,2230000,150000,9870000,,,,,,
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7040000,1950000,80000,790000,9860000,91,99,7.9,2045,Bungie,M
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3010000,2470000,3280000,960000,9720000,92,20,9.2,1282,SquareSoft,T
Halo 4,X360,2012,Shooter,Microsoft Game Studios,6650000,2280000,40000,740000,9710000,87,87,7,3260,343 Industries,M
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3880000,3420000,1690000,500000,9490000,93,23,9,135,Polyphony Digital,T
Just Dance 2,Wii,2010,Misc,Ubisoft,5800000,2850000,10000,780000,9440000,74,24,7.3,24,Ubisoft,E10+
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4100000,3630000,380000,1250000,9360000,71,10,2.6,1047,Infinity Ward,M
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5930000,2360000,130000,900000,9310000,94,70,8.4,1320,Infinity Ward,M
Donkey Kong Country,SNES,1994,Platform,Nintendo,4360000,1710000,3000000,230000,9300000,,,,,,
Minecraft,X360,2013,Misc,Microsoft Game Studios,5700000,2650000,20000,810000,9180000,,,,,,
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2030000,2360000,4390000,390000,9160000,88,70,8.7,626,Nintendo,E
Mario Party DS,DS,2007,Misc,Nintendo,4400000,1850000,1980000,680000,8910000,72,27,7.8,85,Hudson Soft,E
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5050000,2790000,100000,850000,8790000,96,89,8.4,3589,Bethesda Game Studios,M
Super Mario Kart,SNES,1992,Racing,Nintendo,3540000,1240000,3810000,180000,8760000,,,,,,
FIFA 16,PS4,2015,Sports,Electronic Arts,1120000,6120000,60000,1280000,8570000,82,42,4.3,896,EA Sports,E
Halo 2,XB,2004,Shooter,Microsoft Game Studios,6820000,1530000,50000,80000,8490000,95,91,8.2,1218,Bungie Software,M
Wii Party,Wii,2010,Misc,Nintendo,1750000,3470000,2490000,670000,8380000,68,42,7.4,54,Nd Cube,E
Mario Party 8,Wii,2007,Misc,Nintendo,3740000,2240000,1580000,700000,8270000,62,41,6.3,190,Hudson,E
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1060000,5010000,130000,1970000,8160000,88,37,6.6,348,Electronic Arts,E
GoldenEye 007,N64,1997,Shooter,Nintendo,5800000,2010000,130000,150000,8090000,,,,,,
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2790000,1720000,3140000,410000,8070000,,,,,,
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2910000,2070000,2730000,330000,8050000,92,53,8.7,1056,SquareSoft,T
The Sims 3,PC,2009,Simulation,Electronic Arts,990000,6420000,0,600000,8010000,86,75,7.6,886,The Sims Studio,T
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2570000,3860000,660000,910000,7990000,,,,,,
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2990000,3490000,220000,1280000,7980000,,,,,,
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2280000,1720000,3630000,230000,7860000,90,24,8.6,644,SquareSoft,T
Pac-Man,2600,1982,Puzzle,Atari,7280000,450000,0,80000,7810000,,,,,,
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2760000,1720000,2690000,540000,7720000,83,46,8.5,203,Game Freak,E
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2900000,2810000,240000,1730000,7690000,88,65,7.6,451,Rockstar Leeds,M
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2810000,3480000,140000,1230000,7660000,83,39,5.7,1443,Sledgehammer Games,M
The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4100000,1890000,1450000,160000,7600000,,,,,,
FIFA 17,PS4,2016,Sports,Electronic Arts,660000,5750000,80000,1110000,7590000,85,41,5,398,"EA Sports, EA Vancouver",E
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3780000,2170000,1310000,310000,7580000,,,,,,
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3270000,1370000,2430000,480000,7550000,,,,,,
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3560000,2350000,980000,620000,7510000,97,87,9.1,1854,Nintendo EAD Tokyo,E
Super Mario Bros. 2,NES,1988,Platform,Nintendo,5390000,1180000,700000,190000,7460000,,,,,,
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4590000,2110000,10000,680000,7390000,,,,,,
Call of Duty: World at War,X360,2008,Shooter,Activision,4810000,1880000,0,690000,7380000,84,84,7.6,580,Treyarch,M
Battlefield 3,X360,2011,Shooter,Electronic Arts,4460000,2110000,60000,690000,7320000,84,57,7.4,2142,EA DICE,M
Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3270000,2830000,80000,1020000,7200000,85,33,8.6,171,EA Black Box,E
Just Dance,Wii,2009,Misc,Ubisoft,3480000,2990000,0,730000,7200000,49,21,8,110,Ubisoft Paris,E10+
Battlefield 3,PS3,2011,Shooter,Electronic Arts,2850000,2890000,350000,1080000,7170000,85,38,7.5,1761,EA DICE,M
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2530000,3270000,240000,1130000,7160000,87,58,6.5,4228,Bethesda Game Studios,M
Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3270000,2220000,1400000,290000,7160000,96,15,9.1,367,Namco,T
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3740000,2140000,600000,680000,7150000,95,73,9,1658,Nintendo,T
Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo,2980000,1450000,2260000,450000,7140000,,,,,,
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3680000,1750000,1420000,280000,7130000,91,12,8.9,432,Naughty Dog,E
Mario Kart 8,WiiU,2014,Racing,Nintendo,3150000,2150000,1280000,510000,7090000,88,82,9.1,1599,Nintendo,E
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4410000,1040000,1390000,220000,7070000,92,38,9.1,568,HAL Labs,T
Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4120000,1770000,870000,190000,6950000,,,,,,
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2710000,3020000,80000,1090000,6900000,82,39,8.6,132,EA Canada,E
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2930000,2750000,170000,990000,6830000,88,29,8.5,135,EA LA,T
Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3230000,2350000,940000,300000,6820000,,,,,,
Just Dance 4,Wii,2012,Misc,Ubisoft,4050000,2160000,0,550000,6760000,74,10,7.3,28,Ubisoft,E10+
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4150000,1900000,60000,640000,6750000,93,90,7.7,2739,Epic Games,M
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2770000,2750000,190000,1030000,6740000,92,97,8.3,3712,Naughty Dog,T
Zumba Fitness,Wii,2010,Sports,505 Games,3450000,2590000,0,660000,6710000,,,tbd,,"Pipeworks Software, Inc.",E
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3110000,2260000,280000,1030000,6680000,94,44,8.4,993,Infinity Ward,M
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3270000,2200000,210000,980000,6660000,96,105,8.8,5187,Naughty Dog,T
FIFA 12,PS3,2011,Sports,Electronic Arts,840000,4300000,110000,1390000,6650000,,,,,,
Big Brain Academy,DS,2005,Misc,Nintendo,1660000,2750000,1600000,620000,6620000,74,45,7.4,27,Nintendo,E
The Legend of Zelda,NES,1986,Action,Nintendo,3740000,930000,1690000,140000,6510000,,,,,,
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2790000,2530000,170000,990000,6490000,95,73,8.8,2456,Rockstar San Diego,M
FIFA 14,PS3,2013,Sports,Electronic Arts,780000,4240000,70000,1370000,6470000,86,37,4.3,576,EA Canada,E
Assassin's Creed III,PS3,2012,Action,Ubisoft,2640000,2520000,160000,1120000,6450000,85,41,6.9,1307,Ubisoft,M
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3170000,1790000,1030000,460000,6440000,87,77,8.6,368,Retro Studios,E
Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4980000,1300000,80000,70000,6430000,97,68,8.6,1283,Bungie Software,M
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2550000,2600000,250000,1000000,6410000,92,16,6.4,2527,Bethesda Game Studios,M
Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,2570000,1580000,2060000,210000,6410000,76,28,9,222,Game Freak,E
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3640000,1200000,1490000,70000,6400000,85,46,8.8,597,SquareSoft,E
Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,2550000,1560000,1290000,990000,6390000,,,,,,
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4340000,1340000,60000,610000,6340000,83,94,7.1,1163,"Bungie Software, Bungie",M
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3700000,1950000,90000,580000,6320000,95,96,9,2316,Rockstar San Diego,M
Super Mario Sunshine,GC,2002,Platform,Nintendo,4010000,1260000,870000,170000,6310000,92,61,8.6,439,Nintendo,E
Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2470000,830000,2870000,120000,6300000,,,,,,
World of Warcraft,PC,2004,Role-Playing,Activision,80000,6210000,0,0,6290000,93,57,7.3,2182,Blizzard Entertainment,T
Driver,PS,1999,Action,GT Interactive,3110000,2800000,20000,330000,6270000,87,22,8.1,78,Reflections Interactive,T
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4050000,1590000,70000,500000,6210000,91,96,7.8,1504,Epic Games,M
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3920000,1730000,30000,510000,6190000,73,51,7.4,95,Rare Ltd.,E10+
Gears of War,X360,2006,Shooter,Microsoft Game Studios,3540000,1880000,70000,600000,6090000,94,88,8.3,2295,Epic Games,M
FIFA 15,PS4,2014,Sports,Electronic Arts,800000,4330000,50000,900000,6080000,82,47,5.7,988,EA Sports,E
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2450000,2010000,870000,720000,6050000,96,42,8.7,1026,KCEJ,M
Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4470000,1200000,160000,190000,6030000,,,,,,
Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3180000,1830000,780000,240000,6030000,94,20,9.4,918,KCEJ,M
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2630000,1710000,830000,820000,5990000,94,82,8.7,3558,Kojima Productions,M
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1880000,0,2330000,1740000,5950000,92,64,7.6,972,Square Enix,T
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2410000,2180000,280000,990000,5870000,95,98,9.1,8003,Naughty Dog,M
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2800000,1980000,170000,870000,5820000,95,85,6.8,5311,"SCE/WWS, Media Molecule",E
Resident Evil 2,PS,1998,Action,Virgin Interactive,1880000,1470000,2020000,450000,5820000,89,13,9.2,364,Capcom,M
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,630000,670000,4350000,150000,5780000,87,65,8.8,197,Level 5,E10+
Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2260000,1890000,1360000,230000,5740000,89,8,8.9,102,Namco,T
Destiny,PS4,2014,Shooter,Activision,2490000,2070000,160000,920000,5640000,76,95,6.1,5380,"Bungie Software, Bungie",T
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3570000,1550000,0,510000,5640000,80,17,8.9,62,Traveller's Tales,E10+
Cooking Mama,DS,2006,Simulation,505 Games,3070000,1910000,70000,570000,5630000,67,35,7.2,21,Taito Corporation,E
Tetris,NES,1988,Puzzle,Nintendo,2970000,690000,1810000,110000,5580000,,,,,,
Super Smash Bros.,N64,1999,Fighting,Nintendo,2950000,600000,1970000,40000,5550000,,,,,,
Assassin's Creed II,PS3,2009,Action,Ubisoft,2540000,1930000,210000,860000,5550000,91,70,8.6,1202,Ubisoft Montreal,M
Assassin's Creed,X360,2007,Adventure,Ubisoft,3280000,1640000,70000,560000,5540000,81,77,7.7,1074,Ubisoft Montreal,M
Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2990000,1900000,100000,500000,5490000,92,90,8,516,Turn 10,E
Super Mario Advance,GBA,2001,Platform,Nintendo,3140000,1240000,910000,200000,5490000,84,19,7.8,41,Nintendo,E
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,470000,550000,4130000,340000,5480000,81,48,8.7,124,Capcom,T
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2710000,1850000,110000,810000,5480000,96,42,8.6,2162,Rocksteady Studios,T
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2810000,2190000,0,470000,5480000,97,14,7.9,764,Rockstar North,M
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2620000,1640000,990000,230000,5470000,93,24,8.3,108,Intelligent Systems,E
Super Mario World,GBA,2001,Platform,Nintendo,3210000,1110000,950000,200000,5460000,,,,,,
Pokemon Stadium,N64,1999,Strategy,Nintendo,3180000,1240000,940000,90000,5450000,,,,,,
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2070000,2290000,240000,820000,5420000,66,22,7.1,156,Traveller's Tales,E
Call of Duty: World at War,PS3,2008,Shooter,Activision,2730000,1830000,0,830000,5390000,85,45,7.6,409,Treyarch,M
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1850000,2500000,190000,850000,5380000,93,113,7.9,7064,Naughty Dog,T
Dr. Mario,GB,1989,Puzzle,Nintendo,2180000,960000,2000000,200000,5340000,,,,,,
Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1740000,1210000,1870000,510000,5330000,83,83,7.3,2483,Square Enix,T
Pokemon Pinball,GB,1999,Misc,Nintendo,3020000,1120000,1010000,160000,5310000,,,,,,
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1620000,770000,2780000,140000,5300000,94,22,8.9,779,SquareSoft,T
Assassin's Creed III,X360,2012,Action,Ubisoft,3130000,1690000,30000,440000,5290000,84,61,6.7,1196,Ubisoft,M
Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1920000,1080000,2110000,170000,5290000,85,45,6.6,400,SquareSoft,T
Donkey Kong 64,N64,1999,Platform,Nintendo,3330000,790000,1090000,60000,5270000,,,,,,
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3220000,1550000,10000,480000,5270000,81,53,5.4,898,Sledgehammer Games,M
Minecraft,PS3,2014,Misc,Sony Computer Entertainment,2030000,2370000,0,870000,5260000,,,,,,
Assassin's Creed II,X360,2009,Action,Ubisoft,3110000,1550000,80000,510000,5260000,90,82,8.8,1305,Ubisoft Montreal,M
Tomb Raider II,PS,1997,Action,Eidos Interactive,2300000,2460000,200000,280000,5240000,85,13,,,Core Design Ltd.,T
Tomodachi Life,3DS,2013,Simulation,Nintendo,970000,2110000,1900000,240000,5230000,,,,,,
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2300000,1340000,1270000,320000,5220000,84,70,8.1,733,Nintendo,E
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,650000,750000,3610000,200000,5210000,89,63,8.8,245,Level 5,T
Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2930000,1250000,830000,200000,5200000,,,,,,
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,1210000,2430000,1030000,520000,5190000,85,72,8.6,147,Level 5,E
Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,2490000,980000,1570000,150000,5190000,,,,,,
FIFA Soccer 13,X360,2012,Action,Electronic Arts,1090000,3470000,30000,570000,5160000,90,48,6.1,403,Electronic Arts,E
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,2100000,740000,2200000,110000,5150000,,,,,,
Diablo III,PC,2012,Role-Playing,Activision,2440000,2160000,0,540000,5140000,88,86,4,9629,Blizzard Entertainment,M
Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,1980000,2230000,130000,800000,5130000,68,30,7.6,100,EA LA,T
Kirby's Dream Land,GB,1992,Platform,Nintendo,2710000,610000,1700000,110000,5130000,,,,,,
Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,3220000,1690000,0,200000,5120000,,,,,,
Guitar Hero II,PS2,2006,Misc,RedOctane,3810000,630000,0,680000,5120000,92,69,8.5,112,Harmonix Music Systems,T
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3590000,1080000,50000,380000,5100000,80,88,6.5,604,Lionhead Studios,M
Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,1630000,2450000,440000,570000,5090000,,,,,,
Resident Evil 5,PS3,2009,Action,Capcom,1960000,1410000,1080000,640000,5090000,84,76,7.5,667,Capcom,M
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1850000,1800000,950000,480000,5080000,90,57,8,416,Nintendo,E
Super Mario Bros.,GB,1999,Platform,Nintendo,3400000,1300000,150000,220000,5070000,,,,,,
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,610000,3280000,60000,1120000,5070000,89,51,8,233,EA Sports,E
Resident Evil,PS,1996,Action,Virgin Interactive,2050000,1160000,1110000,730000,5050000,91,8,9,266,Capcom,M
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1700000,1990000,160000,1180000,5030000,86,50,8,150,Rockstar Leeds,M
Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3420000,1380000,20000,200000,5020000,92,18,9.2,69,Neversoft Entertainment,T
Warzone 2100,PS,1999,Strategy,Eidos Interactive,2790000,1890000,0,330000,5010000,,,,,,
Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,3360000,1360000,70000,210000,5000000,,,,,,
Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,3490000,10000,10000,1480000,4980000,82,24,8.2,46,"Neversoft Entertainment, BudCat",T
Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3050000,1170000,290000,460000,4980000,68,34,7.1,47,Nintendo,T
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,1830000,1190000,1540000,370000,4930000,,,,,,
Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,3400000,990000,90000,450000,4930000,93,84,8.5,1655,Bethesda Game Studios,M
Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,2310000,1720000,120000,770000,4920000,88,66,8.1,2306,"Naughty Dog, SCE/WWS",T
